Layer,ScenarioId,Actor,Action,Expected,Observed,Result,Note
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/governance-workspace عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=851,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/clients عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=702,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/clients عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=702,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/clients عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=702,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/submissions عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1093,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/submissions عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1093,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/submissions عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1093,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/compliance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1557,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/compliance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1557,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/compliance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1557,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/governance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1899,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/governance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1899,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,leadA2,تحميل /app/governance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1899,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1948,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1948,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1948,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/employee/me عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=3639,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/employee/me عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=3639,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/employee/me عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=3639,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/my-reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2224,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/my-reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2224,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/my-reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2224,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/performance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1465,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/performance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1465,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/performance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1465,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/governance-workspace عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1077,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/governance-workspace عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1077,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/governance-workspace عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1077,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/clients عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=731,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/clients عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=731,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/clients عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=731,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/job-roles عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=743,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/job-roles عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=743,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/job-roles عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=743,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/submissions عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1123,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/submissions عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1123,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/submissions عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1123,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/compliance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1586,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/compliance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1586,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/compliance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1586,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/governance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1948,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/governance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1948,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,multi,تحميل /app/governance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1948,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=964,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=964,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=964,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/employee/me عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=7054,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/employee/me عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=7054,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/employee/me عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=7054,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/my-reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2174,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/my-reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2174,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/my-reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2174,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/my-kpi عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=554,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/my-kpi عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=554,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/my-kpi عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=554,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/governance/escalations عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=926,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/governance/escalations عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=926,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/governance/escalations عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=926,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/submissions عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2197,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/submissions عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2197,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/submissions عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2197,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/development عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=406,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/development عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=406,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empFull,تحميل /app/development عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=406,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=870,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=870,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=870,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/employee/me عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=4129,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/employee/me عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=4129,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/employee/me عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=4129,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/my-reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2086,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/my-reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2086,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/my-reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2086,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/my-kpi عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=547,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/my-kpi عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=547,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/my-kpi عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=547,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/governance/escalations عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=922,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/governance/escalations عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=922,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/governance/escalations عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=922,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/submissions عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2109,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/submissions عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2109,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/submissions عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2109,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/development عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=402,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/development عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=402,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empPart,تحميل /app/development عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=402,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=867,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=867,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=867,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/employee/me عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=4294,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/employee/me عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=4294,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/employee/me عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=4294,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/my-reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2085,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/my-reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2085,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/my-reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2085,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/my-kpi عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=544,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/my-kpi عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=544,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/my-kpi عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=544,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/governance/escalations عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=921,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/governance/escalations عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=921,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/governance/escalations عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=921,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/submissions عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2108,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/submissions عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2108,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/submissions عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2108,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/development عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=401,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/development عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=401,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,empNone,تحميل /app/development عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=401,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=856,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=856,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=856,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/employee/me عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=3557,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/employee/me عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=3557,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/employee/me عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=3557,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/my-reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2078,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/my-reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2078,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/my-reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2078,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/my-kpi عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=519,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/my-kpi عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=519,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/my-kpi عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=519,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/governance/escalations عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=914,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/governance/escalations عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=914,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/governance/escalations عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=914,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/submissions عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2101,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/submissions عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2101,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/submissions عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2101,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/development عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=394,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/development عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=394,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,outsider,تحميل /app/development عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=394,PASS,
